fund_short_name,fund_name,register_number,price_type
百奕传家一号,百奕传家一号私募证券投资基金,SJS027,1
鹿秀中证500指数增强1号,鹿秀中证500指数增强1号私募证券投资基金,SJV467,1
思勰投资-中证500指数增强1号,思勰投资-中证500指数增强1号私募证券投资基金,SJU280,1
每利-班长1号,每利-班长1号私募证券投资基金,SJW106,1
俊丹大象一号,俊丹大象一号私募证券投资基金,SJX425,2
睦沣瀛升一号,睦沣瀛升一号私募证券投资基金,SJL554,2
量魁湘水麓山五号,量魁湘水麓山五号私募证券投资基金,SJZ112,1
稳博1000指数增强1号,稳博1000指数增强1号私募证券投资基金,SJZ127,1
进化论亦谷精选,进化论亦谷精选私募证券投资基金,SJY643,2
上海宽德金刚钻6号,上海宽德金刚钻6号私募证券投资基金,SGU369,1
同温层量化阿尔法1号,同温层量化阿尔法1号证券投资私募基金,SLD035,1
安贤中证500指数增强2号,安贤中证500指数增强2号私募证券投资基金,SJY819,1
丰润永君指数增强,丰润永君指数增强私募证券投资基金,SLA427,1
睦沣二号,睦沣二号私募证券投资基金,SJL350,2
同温层中证500指数增强1号,同温层中证500指数增强1号私募证券投资基金,SLC732,1
鸣石满天星八号,鸣石满天星八号私募证券投资基金,SLE017,2
观升熵简,观升熵简私募证券投资基金,SLE479,1
杉阳云杉转债1号,杉阳云杉转债1号私募证券投资基金,SLE395,1
富尊添利1号,富尊添利1号私募证券投资基金,SLE085,1
立心学院菁英7号,立心学院菁英7号私募证券投资基金,SLD230,2
凯读投资中证2000指数增强1号,凯读投资中证2000指数增强1号私募证券投资基金,SLJ801,2
跃威佳成一号,跃威佳成一号私募证券投资基金,SLH988,1
量客长阳一号,量客长阳一号私募证券投资基金,SLL241,2
因诺择时选股1号,因诺择时选股1号私募证券投资基金,SLK510,2
宏奕东哥2号,宏奕东哥2号私募证券投资基金,SLM766,1
明汯明广中证500指数增强1号,明汯明广中证500指数增强1号私募证券投资基金,SLM774,1
平凡笃行1号,平凡笃行1号私募证券投资基金,SLK419,1
赢仕安盈二号,赢仕安盈二号私募证券投资基金,SLQ349,2
新凰量化七号,新凰量化七号私募证券投资基金,SLP773,2
量客卓宇六号,量客卓宇六号私募证券投资基金,SLR151,1
博普CTA趋势1号1期,博普CTA趋势1号1期证券投资私募基金,SLJ383,1
俊丹湾谷二号,俊丹湾谷二号私募证券投资基金,SLQ627,2
诚奇中证500增强精选1期,诚奇中证500增强精选1期私募证券投资基金,SLS817,1
弘源多元化CTA,弘源多元化CTA私募证券投资基金,SLS182,1
平凡浩淼,平凡浩淼私募证券投资基金,SLV318,1
衍合500指数增强1号,衍合500指数增强1号私募证券投资基金,SLG867,1
中安鼎盛套利多空1号,中安鼎盛套利多空1号私募证券投资基金,SLX873,1
阿巴马铭鑫中证500指数增强1号,阿巴马铭鑫中证500指数增强1号私募证券投资基金,SLN758,1
鸣石盛扬春天十六号,鸣石盛扬春天十六号私募证券投资基金,SLQ950,2
尊和尊益3号,尊和尊益3号私募证券投资基金,SLW979,2
衍盛铭量对冲1号,衍盛铭量对冲1号私募证券投资基金,SLY643,1
衍盛铭量中证500增强1号,衍盛铭量中证500增强1号私募证券投资基金,SLY644,2
超量子沪深300增强2号,超量子沪深300增强2号私募证券投资基金,SLZ923,2
洺沣中证500指数增强1号,洺沣中证500指数增强1号私募证券投资基金,SLZ317,1
正仁股票择时二期,正仁股票择时二期私募证券投资基金,SLZ218,2
不二铭跃一号,不二铭跃一号私募证券投资基金,SNB102,2
信弘中证500指数增强1号,信弘中证500指数增强1号私募证券投资基金,SNB798,1
量客泷韬系统化量化宏观alpha,量客泷韬系统化量化宏观alpha私募证券投资基金,SND961,2
国优卷柏稳健对冲6号,国优卷柏稳健对冲6号私募证券投资基金,SND798,1
量派内核1号,量派内核1号私募证券投资基金,SND175,2
国恩宏观精进6号,国恩宏观精进6号私募证券投资基金,SNE070,1
极量太极1号,极量太极1号私募证券投资基金,SND542,1
微观博易-春枫,微观博易-春枫私募证券投资基金,SNA563,2
量派300增强2号,量派300增强2号私募证券投资基金,SND172,1
诚奇盈发中证500指数增强1号,诚奇盈发中证500指数增强1号私募证券投资基金,SNK237,1
同温层中证1000指数增强1号,同温层中证1000指数增强1号私募证券投资基金,SNF206,1
哈希稳健CTA1号,哈希稳健CTA1号私募证券投资基金,SNH054,2
鸣石广鸣中证1000指数增强1号,鸣石广鸣中证1000指数增强1号私募证券投资基金,SNK642,2
正瀛景和2号,正瀛景和2号私募证券投资基金,SNH188,1
峰云汇戴维斯,峰云汇戴维斯私募证券投资基金,SNK046,2
恒如中证500指数增强一号,恒如中证500指数增强一号私募证券投资基金,SLT233,1
因诺CTA1号,因诺CTA1号私募证券投资基金,SNK187,1
进化论金选量化多空1号,进化论金选量化多空1号私募证券投资基金,SNJ232,2
超量子全A增强2号,超量子全A增强2号私募证券投资基金,SNL415,2
概率一号,概率一号私募证券投资基金,SNM976,1
鋆晟狮王套利6号,鋆晟狮王套利6号私募证券投资基金,SJP431,1
具力金箍棒1号,具力金箍棒1号私募证券投资基金,SNG031,2
众量资产添运1号,众量资产添运1号证券投资私募基金,SNN243,2
进化论稳泰对冲1号,进化论稳泰对冲1号私募证券投资基金,SNJ907,2
智领梓麒7号,智领梓麒7号私募证券投资基金,SNN335,1
皓邦尊享CTA1号,皓邦尊享CTA1号私募证券投资基金,SNP957,1
平凡浩善,平凡浩善私募证券投资基金,SNF160,1
量客投资金选套利1号,量客投资金选套利1号私募证券投资基金,SNH457,2
致邃投资-智慧矩阵指数增强量化1号,致邃投资-智慧矩阵指数增强量化1号私募证券投资基金,SNQ460,2
微观博易-水平,微观博易-水平私募证券投资基金,SNA064,1
念空中证500指数增强10号一期,念空中证500指数增强10号一期私募证券投资基金,SNR480,1
鸣石傲华15号1期,鸣石傲华15号1期私募证券投资基金,SNV347,2
洛炎指增二号,洛炎指增二号私募证券投资基金,SNN552,2
吾执零零号,吾执零零号私募证券投资基金,SNP584,2
衍复300指增一号,衍复300指增一号私募证券投资基金,SNP818,2
均泰华山一号,均泰华山一号私募证券投资基金,SNR129,1
星阔云起1号市场中性,星阔云起1号市场中性私募证券投资基金,SNU704,1
星阔广厦1号中证500指数增强,星阔广厦1号中证500指数增强私募证券投资基金,SNU706,2
衍复天禄灵活对冲一号,衍复天禄灵活对冲一号私募证券投资基金,SNY046,2
尊和百瑞吉1号,尊和百瑞吉1号私募证券投资基金,SNL629,1
源晖中证500指数增强,源晖中证500指数增强私募证券投资基金,SNW229,1
嘉鸿璞真1号,嘉鸿璞真1号私募证券投资基金,SNY759,2
悬铃C号6期,悬铃C号6期私募证券投资基金,SNY736,1
蝶威基本面量化1号,蝶威基本面量化1号私募证券投资基金,SNV133,2
聚宽300指数增强一号,聚宽300指数增强一号私募证券投资基金,SNY965,2
橡木永富,橡木永富私募证券投资基金,SNV238,2
玉数顺利一号,玉数顺利一号私募证券投资基金,SNY231,2
杉树瑞升2号,杉树瑞升2号私募证券投资基金,SNW893,1
白鹭精选量化鲲鹏十号,白鹭精选量化鲲鹏十号私募证券投资基金,SQB109,1
时间序列沪深300指数增强1号,时间序列沪深300指数增强1号私募证券投资基金,SNT891,2
乾象中证500指数增强1号,乾象中证500指数增强1号私募证券投资基金,SQA948,1
勤远锐锋,勤远锐锋私募证券投资基金,SQE481,2
星阔上林1号中证1000指数增强,星阔上林1号中证1000指数增强私募证券投资基金,SQF225,2
星阔春山1号沪深300指数增强,星阔春山1号沪深300指数增强私募证券投资基金,SQF231,2
乾象中证500指数增强1号B类,乾象中证500指数增强1号私募证券投资基金B类,QA948B,2
微观博易-黎夏二号,微观博易-黎夏二号私募证券投资基金,SNH521,2
微观博易-古玉,微观博易-古玉私募证券投资基金,SNV046,2
常行7号,常行7号私募证券投资基金,SQH214,2
量锐指数增强9号,量锐指数增强9号私募证券投资基金,SNZ413,1
迈德瑞趋势机会3号,迈德瑞趋势机会3号私募证券投资基金,SQB319,2
时间序列中证500指数增强2号,时间序列中证500指数增强2号私募证券投资基金,SQJ918,2
泓湖安民量化套利二号,泓湖安民量化套利二号私募证券投资基金,SQK877,1
驻点稳睿一号,驻点稳睿一号私募证券投资基金,SQB890,1
微观博易-芒仲,微观博易-芒仲私募证券投资基金,SQF129,2
平凡笃行君享,平凡笃行君享私募证券投资基金,SQD327,1
衍复天禄灵活对冲六号,衍复天禄灵活对冲六号私募证券投资基金,SQJ120,2
凡二金选中证500指数增强1号,凡二金选中证500指数增强1号私募证券投资基金,SNM667,1
国源不争1号,国源不争1号私募证券投资基金,SQK316,2
云起量化指数增强1号,云起量化指数增强1号私募证券投资基金,SQP741,2
鸣熙天玑中证500指数增强3号,鸣熙天玑中证500指数增强3号私募证券投资基金,SQQ471,1
概率1000指增1号,概率1000指增1号私募证券投资基金,SQQ803,1
茂源量化中证红利指数增强1号,茂源量化中证红利指数增强1号私募证券投资基金,SQS892,2
概率500指增1号,概率500指增1号私募证券投资基金,SQT076,1
量客明晟1号,量客明晟1号私募证券投资基金,SQT188,1
智信融科CTA七号,智信融科CTA七号私募证券投资基金,SQT524,2
国优卷柏牛牛1号,国优卷柏牛牛1号私募证券投资基金,SNL137,2
超量子中证500增强2号,超量子中证500增强2号私募证券投资基金,SNT059,2
启林优选中证500量化选股增强2号,启林优选中证500量化选股增强2号私募证券投资基金,SQA849,2
勤远CTA精选,勤远CTA精选私募证券投资基金,SQS733,1
赫富金选量化对冲1号,赫富金选量化对冲1号私募证券投资基金,SQN022,2
清哲理享云启1号,清哲理享云启1号私募证券投资基金,SQK833,1
玄信市场中性2号,玄信市场中性2号私募证券投资基金,SQX593,1
启林春晓灵活对冲3号,启林春晓灵活对冲3号私募证券投资基金,SQA840,1
创奥投资量化股指,创奥投资量化股指私募证券投资基金,SQY601,2
特夫郁金香全量化,特夫郁金香全量化私募证券投资基金,SQX078,2
探融老虎三号智能量化,探融老虎三号智能量化私募证券投资基金,SQR830,2
鸣石CTA先锋进取A号,鸣石CTA先锋进取A号私募证券投资基金,SQS859,2
伯兄建康,伯兄建康私募证券投资基金,SQT564,1
顺义成量化精选一号,顺义成量化精选一号私募证券投资基金,SQZ004,2
信弘征程对冲1号,信弘征程对冲1号私募证券投资基金,SSB059,1
顽岩中证500指数增强1号,顽岩中证500指数增强1号私募证券投资基金,SSA143,1
银河期货权银河旗舰9号,银河期货权银河旗舰9号集合资产管理计划,SJB932,2
中辉至简8号,中辉至简8号集合资产管理计划,SGY522,2
通怡股票低波择时1号,通怡股票低波择时1号私募证券投资基金,SSA386,1
量客博宇1号,量客博宇1号私募证券投资基金,SSC307,1
上海宽德飞凡1号,上海宽德飞凡1号私募证券投资基金,SSD811,2
平凡浩犇,平凡浩犇私募证券投资基金,SNL554,1
启林金选沪深300指增1号,启林金选沪深300指增1号私募证券投资基金,SNQ369,2
正仁沪深300指数增强,正仁沪深300指数增强私募证券投资基金,SSC554,2
橡木春晓,橡木春晓私募证券投资基金,SSD867,2
星阔山海6号股票优选,星阔山海6号股票优选私募证券投资基金,SSE288,2
金澹通合远洋3号,金澹通合远洋3号私募证券投资基金,SSH128,1
子午500指数增强定制一号,子午500指数增强定制一号私募证券投资基金,SSD578,2
众壹资产量合一号,众壹资产量合一号私募证券投资基金,SSJ434,1
卓识中证500指数增强一号,卓识中证500指数增强一号私募证券投资基金,SSJ711,1
信弘征程2号,信弘征程2号私募证券投资基金,SSK823,1
量客红林中性一期,量客红林中性一期私募证券投资基金,SSN065,2
量瀛涿光3号,量瀛涿光3号私募证券投资基金,SQW733,1
多璨价值驱动6号,多璨价值驱动6号私募证券投资基金,SSH724,1
龙旗股票量化多头1号,龙旗股票量化多头1号私募证券投资基金,SSM136,2
拙诚中证500指数增强1号,拙诚中证500指数增强1号私募证券投资基金,SSN386,1
微观博易-楚书,微观博易-楚书私募证券投资基金,SSK380,2
微观博易-栗丘,微观博易-栗丘私募证券投资基金,SSK381,1
正仁潮汐一期,正仁潮汐一期私募证券投资基金,SSF581,2
岳皋泰山核心一号,岳皋泰山核心一号私募证券投资基金,SSH674,2
香橙资本诺亚方舟3号,香橙资本诺亚方舟3号私募证券投资基金,SSL132,2
哈希可转债指数增强1号,哈希可转债指数增强1号私募证券投资基金,SSN944,2
上海宽德踏远11号,上海宽德踏远11号私募证券投资基金,SSQ331,2
图灵朝旭全市场增强1号,图灵朝旭全市场增强1号私募证券投资基金,SSK062,2
子呈全球小牛1号,子呈全球小牛1号私募证券投资基金,SSR842,1
澜熙趋势先锋一号,澜熙趋势先锋私募证券投资基金一号,SSN411,2
启林广进中证1000指数增强A,启林广进中证1000指数增强A私募证券投资基金,SSU076,2
绰瑞金轮1号,绰瑞金轮1号私募证券投资基金,SSU357,2
因诺多空ETF1号,因诺多空ETF1号私募证券投资基金,SSU091,2
凡二量化中证1000增强3号1期,凡二量化中证1000增强3号1期私募证券投资基金,SSW504,2
香农500指增1号,香农500指增1号私募证券投资基金,SSS767,1
守正用奇指数增强2号,守正用奇指数增强2号私募证券投资基金,SSU504,2
千衍六和2号,千衍六和2号私募证券投资基金,SSW402,2
水木博雅中观武府1号,水木博雅中观武府1号私募证券投资基金,SSW404,1
蒙玺中证1000指数量化1号,蒙玺中证1000指数量化1号私募证券投资基金,SST315,2
概率量化选股1号,概率量化选股1号私募证券投资基金,SSX311,1
时间序列红利增强1号,时间序列红利增强1号私募证券投资基金,SSV122,1
靖戈耀武500增强1号,靖戈耀武500增强1号私募证券投资基金,SSV708,1
希塔套利1号,希塔套利1号私募证券投资基金,SSV305,2
稳博量化选股匠心系列1号,稳博量化选股匠心系列1号私募证券投资基金,SSZ098,1
