date,fund_return,index_return,beta,beta_contribution,cycle_label,sentiment,sentiment_contribution,manager_alpha,cum_fund,cum_beta,cum_sentiment,cum_alpha
20250324,0.0001,-0.00706721,1.0,-0.00706721,—,,0.0,0.00716721,0.01,-0.7067,0.0,0.7167
20250325,0.0,-0.00779472,0.137455,-0.00107142,—,,0.0,0.00107142,0.01,-0.8139,0.0,0.8239
20250326,0.0,0.00382578,-0.003999,-1.53e-05,—,,0.0,1.53e-05,0.01,-0.8154,0.0,0.8254
20250327,0.0,-0.00096942,-0.004505,4.37e-06,—,,0.0,-4.37e-06,0.01,-0.815,0.0,0.825
20250328,0.0,-0.00955085,-0.002212,2.113e-05,—,,0.0,-2.113e-05,0.01,-0.8128,0.0,0.8228
20250331,9.999e-05,-0.00664813,-0.003341,2.221e-05,—,,0.0,7.778e-05,0.02,-0.8106,0.0,0.8306
20250401,0.0,0.0052733,-0.003341,-1.762e-05,—,,0.0,1.762e-05,0.02,-0.8124,0.0,0.8324
20250402,0.0,0.00283881,-0.003518,-9.99e-06,—,,0.0,9.99e-06,0.02,-0.8134,0.0,0.8334
20250403,0.0,-0.01178801,-0.002049,2.415e-05,—,,0.0,-2.415e-05,0.02,-0.811,0.0,0.831
20250407,9.998e-05,-0.11394245,-0.000743,8.464e-05,—,,0.0,1.534e-05,0.03,-0.8025,0.0,0.8325
20250408,0.0,0.00610871,-0.000766,-4.68e-06,—,,0.0,4.68e-06,0.03,-0.803,0.0,0.833
20250409,-9.997e-05,0.02211772,-0.001017,-2.25e-05,—,,0.0,-7.747e-05,0.02,-0.8052,0.0,0.8252
20250410,0.0,0.02339831,-0.000979,-2.291e-05,—,,0.0,2.291e-05,0.02,-0.8075,0.0,0.8275
20250411,0.0,0.01341536,-0.000973,-1.305e-05,—,,0.0,1.305e-05,0.02,-0.8088,0.0,0.8288
20250414,9.998e-05,0.0130222,-0.000847,-1.103e-05,—,,0.0,0.00011101,0.03,-0.8099,0.0,0.8399
20250415,-9.997e-05,-0.0041252,-0.00085,3.51e-06,—,,0.0,-0.00010348,0.02,-0.8096,0.0,0.8296
20250416,0.0,-0.01330406,-0.000839,1.116e-05,—,,0.0,-1.116e-05,0.02,-0.8085,0.0,0.8285
20250417,0.0,0.00072248,-0.000842,-6.1e-07,—,,0.0,6.1e-07,0.02,-0.8085,0.0,0.8285
20250418,0.0,-0.0013489,-0.000843,1.14e-06,—,,0.0,-1.14e-06,0.02,-0.8084,0.0,0.8284
